url,popularity_score,metascore,oscars
https://www.imdb.com/title/tt0113247/?ref_=chttp_t_223,"2,086",N/A,Awards
https://www.imdb.com/title/tt0129167/?ref_=chttp_t_224,"2,148",85,Won 1 BAFTA Award
https://www.imdb.com/title/tt1028532/?ref_=chttp_t_225,"2,235",N/A,Awards
https://www.imdb.com/title/tt0050212/?ref_=chttp_t_226,"2,287",88,Won 7 Oscars
https://www.imdb.com/title/tt0052618/?ref_=chttp_t_227,"2,354",90,Won 11 Oscars
https://www.imdb.com/title/tt0041959/?ref_=chttp_t_228,"2,366",97,Won 1 Oscar
https://www.imdb.com/title/tt0074958/?ref_=chttp_t_229,"2,517",83,Won 4 Oscars
https://www.imdb.com/title/tt0978762/?ref_=chttp_t_230,"2,625",72,Awards
https://www.imdb.com/title/tt0381681/?ref_=chttp_t_231,"2,681",91,Nominated for 1 Oscar
https://www.imdb.com/title/tt0032976/?ref_=chttp_t_232,"2,738",86,Won 2 Oscars
https://www.imdb.com/title/tt0050976/?ref_=chttp_t_233,"2,804",88,Awards
https://www.imdb.com/title/tt0107207/?ref_=chttp_t_234,"2,806",84,Nominated for 7 Oscars
https://www.imdb.com/title/tt0047296/?ref_=chttp_t_235,"3,204",91,Won 8 Oscars
https://www.imdb.com/title/tt0395169/?ref_=chttp_t_236,"3,983",79,Nominated for 3 Oscars
https://www.imdb.com/title/tt0032551/?ref_=chttp_t_237,N/A,96,Won 2 Oscars
https://www.imdb.com/title/tt0046268/?ref_=chttp_t_238,N/A,85,Won 1 BAFTA Award
https://www.imdb.com/title/tt0058946/?ref_=chttp_t_239,N/A,96,Nominated for 3 Oscars
https://www.imdb.com/title/tt0050986/?ref_=chttp_t_240,N/A,88,Nominated for 1 Oscar
https://www.imdb.com/title/tt0046438/?ref_=chttp_t_241,N/A,100,Awards
https://www.imdb.com/title/tt0031679/?ref_=chttp_t_242,N/A,73,Won 1 Oscar
https://www.imdb.com/title/tt0019254/?ref_=chttp_t_243,N/A,98,Awards
https://www.imdb.com/title/tt0035446/?ref_=chttp_t_244,N/A,86,Nominated for 1 Oscar
https://www.imdb.com/title/tt0015864/?ref_=chttp_t_245,N/A,N/A,Nominated for 2 Oscars
https://www.imdb.com/title/tt0017925/?ref_=chttp_t_246,N/A,N/A,Awards
https://www.imdb.com/title/tt0317705/?ref_=chttp_t_247,580,90,Won 2 Oscars
https://www.imdb.com/title/tt0107048/?ref_=chttp_t_248,"1,293",72,Won 1 BAFTA Award
https://www.imdb.com/title/tt0061512/?ref_=chttp_t_249,"2,748",92,Won 1 Oscar
https://www.imdb.com/title/tt0245712/?ref_=chttp_t_250,"3,119",83,Nominated for 1 Oscar
