title,year,run_time,IMBD_rating_2024,url
185. Barry Lyndon,1975,3h 5m,8.1,https://www.imdb.com/title/tt0072684/?ref_=chttp_t_217
178. Gran Torino,2008,1h 56m,8.1,https://www.imdb.com/title/tt1205489/?ref_=chttp_t_218
198. Wild Tales,2014,2h 2m,8.1,https://www.imdb.com/title/tt3011894/?ref_=chttp_t_219
181. My Neighbor Totoro,1988,1h 26m,8.1,https://www.imdb.com/title/tt0096283/?ref_=chttp_t_220
249. A Silent Voice: The Movie,2016,2h 10m,8.1,https://www.imdb.com/title/tt5323662/?ref_=chttp_t_221
170. Raging Bull,1980,2h 9m,8.1,https://www.imdb.com/title/tt0081398/?ref_=chttp_t_222
223. La haine,1995,1h 38m,8.1,https://www.imdb.com/title/tt0113247/?ref_=chttp_t_223
242. The Iron Giant,1999,1h 26m,8.1,https://www.imdb.com/title/tt0129167/?ref_=chttp_t_224
235. Hachi: A Dog's Tale,2009,1h 33m,8.1,https://www.imdb.com/title/tt1028532/?ref_=chttp_t_225
173. The Bridge on the River Kwai,1957,2h 41m,8.1,https://www.imdb.com/title/tt0050212/?ref_=chttp_t_226
183. Ben-Hur,1959,3h 32m,8.1,https://www.imdb.com/title/tt0052618/?ref_=chttp_t_227
211. The Third Man,1949,1h 33m,8.1,https://www.imdb.com/title/tt0041959/?ref_=chttp_t_228
233. Network,1976,2h 1m,8.1,https://www.imdb.com/title/tt0074958/?ref_=chttp_t_229
205. Mary and Max,2009,1h 32m,8.1,https://www.imdb.com/title/tt0978762/?ref_=chttp_t_230
226. Before Sunset,2004,1h 20m,8.1,https://www.imdb.com/title/tt0381681/?ref_=chttp_t_231
246. Rebecca,1940,2h 10m,8.1,https://www.imdb.com/title/tt0032976/?ref_=chttp_t_232
216. The Seventh Seal,1957,1h 36m,8.1,https://www.imdb.com/title/tt0050976/?ref_=chttp_t_233
194. In the Name of the Father,1993,2h 13m,8.1,https://www.imdb.com/title/tt0107207/?ref_=chttp_t_234
206. On the Waterfront,1954,1h 48m,8.1,https://www.imdb.com/title/tt0047296/?ref_=chttp_t_235
220. Hotel Rwanda,2004,2h 1m,8.1,https://www.imdb.com/title/tt0395169/?ref_=chttp_t_236
243. The Grapes of Wrath,1940,2h 9m,8.1,https://www.imdb.com/title/tt0032551/?ref_=chttp_t_237
207. The Wages of Fear,1953,2h 36m,8.1,https://www.imdb.com/title/tt0046268/?ref_=chttp_t_238
241. The Battle of Algiers,1966,2h 1m,8.1,https://www.imdb.com/title/tt0058946/?ref_=chttp_t_239
209. Wild Strawberries,1957,1h 32m,8.1,https://www.imdb.com/title/tt0050986/?ref_=chttp_t_240
214. Tokyo Story,1953,2h 16m,8.1,https://www.imdb.com/title/tt0046438/?ref_=chttp_t_241
210. Mr. Smith Goes to Washington,1939,2h 9m,8.1,https://www.imdb.com/title/tt0031679/?ref_=chttp_t_242
225. The Passion of Joan of Arc,1928,1h 54m,8.1,https://www.imdb.com/title/tt0019254/?ref_=chttp_t_243
238. To Be or Not to Be,1942,1h 39m,8.1,https://www.imdb.com/title/tt0035446/?ref_=chttp_t_244
195. The Gold Rush,1925,1h 35m,8.1,https://www.imdb.com/title/tt0015864/?ref_=chttp_t_245
204. The General,1926,1h 18m,8.1,https://www.imdb.com/title/tt0017925/?ref_=chttp_t_246
230. The Incredibles,2004,1h 55m,8.0,https://www.imdb.com/title/tt0317705/?ref_=chttp_t_247
244. Groundhog Day,1993,1h 41m,8.0,https://www.imdb.com/title/tt0107048/?ref_=chttp_t_248
248. Cool Hand Luke,1967,2h 7m,8.0,https://www.imdb.com/title/tt0061512/?ref_=chttp_t_249
245. Amores Perros,2000,2h 34m,8.0,https://www.imdb.com/title/tt0245712/?ref_=chttp_t_250
